ID,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
855,Protecting databases from query flood attacks,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","Squicciarini, Anna Cinzia and Paloscia, Ivan and Bertino, Elisa",1358--1360,2008,IEEE,inproceedings,,,,
856,Secure collaboration in a mediator-free distributed environment,,"Shehab, Mohamed and Ghafoor, Arif and Bertino, Elisa",1338--1351,2008,,article,IEEE,"Parallel and Distributed Systems, IEEE Transactions on",10,19
857,Trust evaluation of data provenance,,"Dai, Chenyun and Lin, Dan and Bertino, Elisa and Kantarcioglu, Murat",,2008,,article,,Computer,,
858,Efficient and secure content processing and distribution by cooperative intermediaries,,"Koglin, Yunhua and Yao, Danfeng and Bertino, Elisa",615--626,2008,,article,IEEE,"Parallel and Distributed Systems, IEEE Transactions on",5,19
859,PEAR: a hardware based protocol authentication system,Proceedings of the 3rd ACM SIGSPATIAL International Workshop on Security and Privacy in GIS and LBS,"Kerr, Sam and Kirkpatrick, Michael S and Bertino, Elisa",18--25,2010,ACM,inproceedings,,,,
860,Biometrics-based identifiers for digital identity management,Proceedings of the 9th Symposium on Identity and Trust on the Internet,"Bhargav-Spantzel, Abhilasha and Squicciarini, Anna and Bertino, Elisa and Kong, Xiangwei and Zhang, Weike",84--96,2010,ACM,inproceedings,,,,
861,Efficient tree pattern queries on encrypted xml documents,Proceedings of the Joint EDBT/ICDT 2013 Workshops,"Cao, Jianneng and Rao, Fang-Yu and Kuzu, Mehmet and Bertino, Elisa and Kantarcioglu, Murat",111--120,2013,ACM,inproceedings,,,,
862,"CONCERTO, conceptual indexing, querying and retrieval of digital documents","Multimedia Computing and Systems, 1999. IEEE International Conference on","Bertino, Elisa and Black, Bill and Brasher, Andrew and Candela, Vito and Catania, Barbara and Deavin, Diana and Pace, Luigi Di and Esposito, Floriana and Leo, Pietro and McNaught, John and others",1106--1109,1999,IEEE,inproceedings,,,,2
863,Hierarchical domains for decentralized administration of spatially-aware RBAC systems,"Availability, Reliability and Security, 2008. ARES 08. Third International Conference on","Damiani, Maria Luisa and Silvestri, Claudio and Bertino, Elisa",153--160,2008,IEEE,inproceedings,,,,
864,A roadmap for privacy-enhanced secure data provenance,,"Bertino, Elisa and Ghinita, Gabriel and Kantarcioglu, Murat and Nguyen, Dang and Park, Jae and Sandhu, Ravi and Sultana, Salmin and Thuraisingham, Bhavani and Xu, Shouhuai",481--501,2014,,article,Springer US,Journal of Intelligent Information Systems,3,43
865,On Using Materialization Strategies for a Temporal Authorization Model.,VIEWS,"Ferrari, Elena and Bertino, Elisa and Bettini, Claudio and Motta, Alberto and Samarati, Pierangela",34--42,1996,,inproceedings,,,,
866,Research issues in data provenance for streaming environments,Proceedings of the 2nd SIGSPATIAL ACM GIS 2009 International Workshop on Security and Privacy in GIS and LBS,"Lim, Hyo-Sang and Moon, Yang-Sae and Bertino, Elisa",58--62,2009,ACM,inproceedings,,,,
867,A logical approach to cooperative information systems,,"Bertino, Elisa and Catania, Barbara and Gervasi, Vincenzo and Raffaet{\`a}, Alessandra",15--48,2000,,article,North-Holland,The Journal of Logic Programming,1,43
868,A lightweight secure scheme for detecting provenance forgery and packet drop attacks in wireless sensor networks,,"Sultana, Shabana and Ghinita, Gabriel and Bertino, Elisa and Shehab, Mohamed",,2014,,article,IEEE,,,
869,Challenges and Opportunities with Big Data,,"Bertino, Elisa and Bernstein, Philip and Agrawal, Divyakant and Davidson, Susan and Dayal, Umeshwas and Franklin, Michael and Gehrke, Johannes and Haas, Laura and Halevy, Alon and Han, Jiawei and others",,2011,,article,,,,
870,Broadcast group key management with access control vectors,,"Shang, Ning and Nabeel, Mohamed and Bertino, Elisa and Zou, Xukai",,2010,,article,,"Department of Computer Science, Tech. Rep",,4
871,Sistemi di basi di dati: concetti e architetture,,"Bertino, Elisa and Catania, Barbara and Ferrari, Elena",,1997,,book,Citt{\`a} Studi Edizioni,,,
872,Effective key management in dynamic wireless sensor networks,,"Seo, Seung-Hyun and Won, Jongho and Sultana, Shabana and Bertino, Elisa",371--383,2015,,article,IEEE,"Information Forensics and Security, IEEE Transactions on",2,10
873,ST\_ODMG: A Multigranular Spatiotemporal Extension of ODMG Model,,"Camossi, Elena and Bertolotto, Michela and Bertino, Elisa and Guerrini, Giovanna",,2003,,techreport,,,,
874,Exposing copy-pasteblur forgeries based on color coherence,,"WANG, Bo and Kong, Xiangwei and Bertino, E and Fu, Haiyan",487--490,2009,,article,,Chinese Journal of Electronics,3,18
875,A semantic based redesigning of distributed workflows,,"Atluri, Vijayalakshmi and Huang, Wei-Kuang and Bertino, Elisa",328--345,1998,,article,Citeseer,9th International Conference on Management of Data,,
876,Demonstrating a lightweight data provenance for sensor networks,Proceedings of the 2012 ACM conference on Computer and communications security,"Shebaro, Bilal and Sultana, Salmin and Reddy Gopavaram, Shakthidhar and Bertino, Elisa",1022--1024,2012,ACM,inproceedings,,,,
877,Information driven evaluation of data hiding algorithms,Data Warehousing and Knowledge Discovery,"Bertino, Elisa and Fovino, Igor Nai",418--427,2005,,incollection,Springer Berlin Heidelberg,,,
878,PUF ROKs: A hardware approach to read-once keys,"Proceedings of the 6th ACM Symposium on Information, Computer and Communications Security","Kirkpatrick, Michael S and Kerr, Sam and Bertino, Elisa",155--164,2011,ACM,inproceedings,,,,
879,Proactive defense of insider threats through authorization management,Proceedings of 2011 international workshop on Ubiquitous affective awareness and intelligent interaction,"Sun, Yuqing and Li, Ninghui and Bertino, Elisa",9--16,2011,ACM,inproceedings,,,,
880,MULTOS: A document server for distributed office systems,Advances in Database Technology—EDBT'88,"Bertino, Elisa and Rabitti, Fausto and Thanos, Costantino",606--615,1988,,incollection,Springer Berlin Heidelberg,,,
881,PUF ROKs: generating read-once keys from physically unclonable functions,Proceedings of the Sixth Annual Workshop on Cyber Security and Information Intelligence Research,"Kirkpatrick, Michael S and Bertino, Elisa and Kerr, Sam",19,2010,ACM,inproceedings,,,,
882,Query mesh: Multi-route query processing technology,,"Nehme, Rimma V and Works, Karen E and Rundensteiner, Elke A and Bertino, Elisa",1530--1533,2009,,article,VLDB Endowment,Proceedings of the VLDB Endowment,2,2
883,A decentralized temporal authorization model,Information systems security,"Bertino, Elisa and Bettini, Claudio and Ferrari, Elena and Samarati, Pierangela",271--280,1996,"Chapman \& Hall, Ltd.",inproceedings,,,,
884,An XML-based approach to document flow verification,Information Security,"Bertino, Elisa and Ferrari, Elena and Mella, Giovanni",207--218,2004,,incollection,Springer Berlin Heidelberg,,,
885,Provenance-aware security risk analysis for hosts and network flows,"Network Operations and Management Symposium (NOMS), 2014 IEEE","Rezvani, Mohsen and Ignjatovic, Aleksandar and Bertino, Elisa and Jha, Somesh",1--8,2014,IEEE,inproceedings,,,,
886,A semantic approach to build personalized interfaces in the cultural heritage domain,Proceedings of the working conference on Advanced visual interfaces,"Valtolina, Stefano and Mazzoleni, Pietro and Franzoni, Stefano and Bertino, Elisa",306--309,2006,ACM,inproceedings,,,,
887,Grid based methods for estimating spatial join selectivity,Proceedings of the 12th annual ACM international workshop on Geographic information systems,"Belussi, Alberto and Bertino, Elisa and Nucita, Andrea",92--100,2004,ACM,inproceedings,,,,
888,Query processing,Multimedia Databases in Perspective,"Bertino, Elisa and Catania, Barbara and Ferrari, Elena",181--217,1997,,incollection,Springer London,,,
889,Hierarchical data placement for navigational multimedia applications,,"Vakali, Athena and Terzi, Evimaria and Bertino, Elisa and Elmagarmid, Ahmed",49--80,2003,,article,Elsevier,Data \& Knowledge Engineering,1,44
890,Signature and access control policies for XML documents,Computer Security--ESORICS 2003,"Bertino, Elisa and Ferrari, Elena and Provenza, Loredana Parasiliti",1--22,2003,,incollection,Springer Berlin Heidelberg,,,
891,The Update Problem in the Distributed Database System Hermes/1.,ICOD,"Bertino, Elisa and Meghini, Carlo and Thanos, Costantino",317--331,1983,,inproceedings,,,,
892,Some usability considerations in access control systems,,"Bertino, Elisa and Calo, Seraphin and Chen, Hong and Li, Ninghui and Li, Tiancheng and Lobo, Jorge and Molloy, Ian and Wang, Qihua",,2008,,article,,Symposium on Usable Privacy and Security (SOUPS) 2008,,
893,Approaches to Handling Temporal Data in Object-Oriented Databases,,"Bertino, Elisa and Bevilacqua, Michela and Ferrari, Elena and Guerrini, Giovanna",192--97,1997,,article,,Milano: Dipartimento di Scienze dell’Informazione Universit’a di Milano,,
894,An Overview of VeryIDX-A Privacy-Preserving Digital Identity Management System for Mobile Devices,,"Paci, Federica and Bertino, Elisa and Kerr, Sam and Squicciarini, Anna and Woo, Jungha",696--706,2009,,article,,Journal of Software,7,4
895,An analytic approach to people evaluation in crowdsourcing systems,,"Allahbakhsh, Mohammad and Ignjatovic, Aleksandar and Benatallah, Boualem and Beheshti, Seyed-Mehdi-Reza and Foo, Norman and Bertino, Elisa",,2012,,article,,arXiv preprint arXiv:1211.3200,,
896,Representation and querying of unfair evaluations in social rating systems,,"Allahbakhsh, Mohammad and Ignjatovic, Aleksandar and Benatallah, Boualem and Foo, Norman and Bertino, Elisa and others",68--88,2014,,article,Elsevier Advanced Technology,Computers \& Security,,41
897,A Comprehensive Approach for Solving Policy Heterogeneity,,"Ferrini, Rodolfo and Bertino, Elisa",,2009,,article,,,,
898,Digital identity enrolment and assurance support for VeryIDX,"Computer Supported Cooperative Work in Design (CSCWD), 2010 14th International Conference on","Yong, Jianming and Bertino, Elisa",734--739,2010,IEEE,inproceedings,,,,
899,Efficient privacy preserving reputation protocols inspired by secure sum,"Privacy Security and Trust (PST), 2010 Eighth Annual International Conference on","Hasan, Omar and Bertino, Elisa and Brunie, Lionel",126--133,2010,IEEE,inproceedings,,,,
900,CLP ($\backslash$ mathcal $\{$A$\}$$\backslash$ mathcal $\{$D$\}$) as a deductive database language with updates,Extensions of Logic Programming,"Bertino, Elisa and Martelli, Maurizio and Montesi, Danilo",80--99,1993,,incollection,Springer Berlin Heidelberg,,,
901,Privacy of outsourced k-means clustering,"Proceedings of the 9th ACM symposium on Information, computer and communications security","Liu, Dongxi and Bertino, Elisa and Yi, Xun",123--134,2014,ACM,inproceedings,,,,
902,Evolution specification of multigranular temporal objects,"Temporal Representation and Reasoning, 2002. TIME 2002. Proceedings. Ninth International Symposium on","Camossi, Elena and Bertino, Elisa and Guerrini, Giovanna and Mesiti, Marco",78--85,2002,IEEE,inproceedings,,,,
903,An evaluation of text access methods,"System Sciences, 1989. Vol. II: Software Track, Proceedings of the Twenty-Second Annual Hawaii International Conference on","Bertino, Elisa and Marinaro, Fabrizio",810--819,1989,IEEE,inproceedings,,,,2
904,Deadlock detection in the face of transaction and data dependencies,Application and Theory of Petri Nets 1998,"Bertino, Elisa and Chiola, Giovanni and Mancini, Luigi V",266--285,1998,,incollection,Springer Berlin Heidelberg,,,
905,Towards location-based access control in healthcare emergency response,Proceedings of the 2nd SIGSPATIAL ACM GIS 2009 International Workshop on Security and Privacy in GIS and LBS,"Vicente, Carmen Ruiz and Kirkpatrick, Michael and Ghinita, Gabriel and Bertino, Elisa and Jensen, Christian S",22--26,2009,ACM,inproceedings,,,,
906,"Advances in Database Technology-EDBT 2002: 8th International Conference on Extending Database Technology, Prague, Czech Republic, March 25-27, Proceedings",,"Jensen, Christian S and Jeffery, Keith G and Pokorny, Jaroslav and Saltenis, Simonas and Bertino, Elisa and B{\""o}hm, Klemens and Jarke, Matthias",,2003,,book,Springer,,,2287
907,A file provenance system,Proceedings of the third ACM conference on Data and application security and privacy,"Sultana, Salmin and Bertino, Elisa",153--156,2013,ACM,inproceedings,,,,
908,Adaptive data protection in distributed systems,Proceedings of the third ACM conference on Data and application security and privacy,"Squicciarini, Anna Cinzia and Petracca, Giuseppe and Bertino, Elisa",365--376,2013,ACM,inproceedings,,,,
909,"Efficient Leakage-free Authentication of Trees, Graphs and Forests.",,"Kundu, Ashish and Atallah, Mikhail J and Bertino, Elisa",36,2012,,article,,IACR Cryptology ePrint Archive,,2012
910,Dependable and Secure Computing,,"Xu, G and Borcea, C and Iftode, L and Cao, J and Carminati, B and Ferrari, E and Tan, KL and Lee, CW and Hsieh, SY and McCusker, K and others",,2011,,article,,,,
911,Standards for web services security,Security for Web Services and Service-Oriented Architectures,"Bertino, Elisa and Martino, Lorenzo D and Paci, Federica and Squicciarini, Anna C",45--77,2010,,incollection,Springer Berlin Heidelberg,,,
912,Policy languages for digital identity management in federation systems,"Policies for Distributed Systems and Networks, 2006. Policy 2006. Seventh IEEE International Workshop on","Bertino, Elisa and Bhargav-Spantzel, Abhilasha and Squicciarini, Anna Cinzia",11--pp,2006,IEEE,inproceedings,,,,
913,Decentralized administration for a temporal access control model,,"Bertino, Elisa and Bettini, Claudio and Ferrari, Elena and Samarati, Pierangela",223--248,1997,,article,Elsevier Ltd,Information Systems,4,22
